ID_REF,logFC,pval,FDR
1552588_a_at,-0.35642873322632873,0.09016340495533758,
1552590_a_at,0.024806335446548644,0.9050026105662758,
1552592_at,-0.21193124738049196,0.3098944675277885,
1552594_at,-0.11505836487834298,0.4753391023632887,
1552596_at,0.037224320818133094,0.8173762993452451,
1552598_at,-0.0399404313701357,0.8182332212596732,
1552599_at,0.01782771679157502,0.9094556371670406,
1552602_at,-0.06897947230528878,0.6037097657581257,
1552604_at,0.12419558797741903,0.5476712194384529,
1552605_s_at,0.08348691139441566,0.6136662655615608,
1552607_at,-0.03520523698498579,0.7940966953549926,
1552608_at,0.08906594394504985,0.6723127207867844,
1552609_s_at,0.3348489219818118,0.05432441767659079,
1552610_a_at,-0.2295895420143168,0.008024248006067193,
1552611_a_at,-0.22086182234196272,0.036154194378475106,
1552612_at,-0.0038825171134657666,0.9661226472909796,
1552613_s_at,-0.1627094555149462,0.14438880300139356,
1552615_at,0.057157507205417346,0.6305758388542906,
1552616_a_at,-0.22100289979218246,0.19572725510777808,
1552617_a_at,0.14061898962898312,0.020389972751061372,
1552618_at,0.08700500328252758,0.5466408292628336,
1552619_a_at,0.193344790934324,0.07922385467724959,
1552620_at,0.005907193337353789,0.9601407444703117,
1552621_at,-0.183697382486411,0.057197098900780584,
1552622_s_at,-0.208809445538213,0.028671778602825618,
1552623_at,-0.39287233832720325,0.017917237188856256,
1552625_a_at,-0.09175831437943671,0.3221438216496753,
1552626_a_at,0.13039827253011094,0.43464443512489104,
1552627_a_at,0.255323062692975,0.014902105611845662,
1552628_a_at,-0.05531045577901317,0.6047353814941776,
1552629_a_at,0.2749814986507717,0.2074045391033204,
1552630_a_at,-0.1727434156422003,0.3673422618292197,
1552631_a_at,-0.21374991601848592,0.13494792075417358,
1552632_a_at,-0.052034512582279646,0.7865803331372114,
1552633_at,-0.2891186423218848,0.0024773548469492874,
1552634_a_at,-0.21189197041417174,0.20315650844873473,
1552637_at,0.17014203499675506,0.37741855765430865,
1552639_at,-0.04366121866460215,0.8321896040075907,
1552641_s_at,0.217230267801936,0.31469402309009736,
1552643_at,0.07343615603636167,0.5451037713682321,
1552644_a_at,-0.016229876335948745,0.8704623870773469,
1552646_at,0.007034308597798855,0.9391108953167298,
1552648_a_at,-0.2651580288273925,0.07445102203700961,
1552649_a_at,-0.07294877602863181,0.6914746024184845,
1552651_a_at,0.10500208250920462,0.5460706404978357,
1552652_at,0.07724455803952068,0.612654664574823,
1552656_s_at,-0.029801048121877116,0.7722077955526161,
1552657_a_at,-0.06471438081134195,0.6275970990572879,
1552658_a_at,0.06531062288606826,0.7204571462074149,
1552660_a_at,0.012620129344656839,0.9096596262947066,
1552661_at,0.4089771458551361,0.08701339793525444,
1552662_a_at,0.22787661988732122,0.313707377933437,
1552663_a_at,0.0414450434876148,0.7257398893037716,
1552664_at,-0.32724507515330536,0.0010442131291743323,
1552665_at,-0.0995559819187708,0.4526219137946417,
1552666_a_at,0.20131884525495014,0.3720708867145598,
1552667_a_at,0.1907626094663062,0.25245365302105643,
1552669_at,-0.057772568887418,0.6815478995337085,
1552670_a_at,0.0881962597398891,0.569898302821938,
1552671_a_at,-0.15386990144499535,0.4354105073558211,
1552672_a_at,0.0758596744919533,0.6766550803162507,
1552673_at,0.20419621963922818,0.2846167813419793,
1552674_at,-0.004154440718522778,0.9787126411209572,
1552675_at,0.30901196915543494,0.05230031230524448,
1552676_at,0.17176915120849756,0.18824630340453782,
1552677_a_at,-0.28184108932633123,0.0383532369445894,
1552678_a_at,0.005004215017383018,0.9701280145960454,
1552680_a_at,0.05851148852966759,0.5890960950375104,
1552682_a_at,0.2407286754276079,0.05824871668736021,
1552684_a_at,0.0958112327319709,0.653863251991619,
1552685_a_at,0.12520525113221392,0.4362129520397422,
1552686_at,0.22467541220075216,0.35647456280089185,
1552687_a_at,0.0641585756681966,0.7304259076795998,
1552689_at,-0.19061533272170195,0.27521694091149,
1552690_a_at,-0.1498763748214813,0.37576807784058464,
1552691_at,-0.3027996584623729,0.08520405563451834,
1552693_at,-0.10770533237657531,0.6315818447288101,
1552694_at,-0.09853179084348174,0.6636489995509652,
1552695_a_at,-0.060021776450897235,0.7286148622048664,
1552696_at,0.09747171644380881,0.5087735418932147,
1552698_at,0.10811090484965202,0.5088883490133393,
1552701_a_at,-0.3347304934536268,0.0351543594033074,
1552703_s_at,-0.21508128609286636,0.2068908405847443,
